	airplane-b	airplane-s	apartment-b	apartment-s	apple-b	apple-s	banana-b	banana-s	bar-b	bar-s	beach-b	beach-s	canary-b	canary-s	car-b	car-s	carrot-b	carrot-s	cat-b	cat-s	cathedral-b	cathedral-s	cheerfulness-b	cheerfulness-s	cherry-b	cherry-s	comb-b	comb-s	crow-b	crow-s	democracy-b	democracy-s	dog-b	dog-s	eggplant-b	eggplant-s	freedom-b	freedom-s	friendship-b	friendship-s	giraffe-b	giraffe-s	hammer-b	hammer-s	horse-b	horse-s	jealousy-b	jealousy-s	justice-b	justice-s	kiwi-b	kiwi-s	knife-b	knife-s	lawn-b	lawn-s	lettuce-b	lettuce-s	motorcycle-b	motorcycle-s	mountain-b	mountain-s	pain-b	pain-s	passion-b	passion-s	pencil-b	pencil-s	penguin-b	penguin-s	pineapple-b	pineapple-s	potato-b	potato-s	religion-b	religion-s	restaurant-b	restaurant-s	screwdriver-b	screwdriver-s	sea-b	sea-s	seagull-b	seagull-s	ship-b	ship-s	shop-b	shop-s	swan-b	swan-s	to_believe-b	to_believe-s	to_catch_sight_of-b	to_catch_sight_of-s	to_doubt-b	to_doubt-s	to_eavesdrop-b	to_eavesdrop-s	to_fear-b	to_fear-s	to_feel-b	to_feel-s	to_glimpse-b	to_glimpse-s	to_grab-b	to_grab-s	to_hate-b	to_hate-s	to_hear-b	to_hear-s	to_listen-b	to_listen-s	to_massage-b	to_massage-s	to_peep-b	to_peep-s	to_peer_at-b	to_peer_at-s	to_shout-b	to_shout-s	to_sing-b	to_sing-s	to_spot-b	to_spot-s	to_stroke-b	to_stroke-s	to_think-b	to_think-s	to_touch_lightly-b	to_touch_lightly-s	tomato-b	tomato-s	train-b	train-s	woods-b	woods-s	worry-b	worry-s	zebra-b	zebra-s
to_listen-b	0.13554	0.12715	0.08789	0.10771	0.00000	0.00000	0.00000	0.00000	0.09263	0.08820	0.04420	0.03405	0.06965	0.05417	0.08951	0.00000	0.00665	0.00000	0.02452	0.04684	0.01141	0.00852	0.24389	0.19858	0.00000	0.00000	0.02014	0.02868	0.06082	0.04790	0.06629	0.12202	0.09644	0.01835	0.00000	0.00000	0.20852	0.29203	0.31710	0.33431	0.00000	0.00000	0.03489	0.00787	0.05129	0.04327	0.28219	0.35938	0.31873	0.36984	0.00000	0.00340	0.03121	0.01503	0.03826	0.00000	0.00000	0.02799	0.08826	0.07712	0.05306	0.00591	0.16059	0.15721	0.25198	0.32245	0.00000	0.00000	0.01193	0.01454	0.00000	0.00000	0.00503	0.00000	0.06572	0.13089	0.06494	0.05636	0.00000	0.02623	0.03755	0.00000	0.04689	0.04086	0.06514	0.10239	0.08350	0.10435	0.03878	0.03073	0.23773	0.41718	0.17812	0.27959	0.43686	0.48699	0.45069	0.42001	0.28449	0.31552	0.26837	0.28342	0.20823	0.33214	0.14028	0.23037	0.32299	0.41833	0.58454	0.68102	1.00000	0.81754	0.25357	0.33933	0.24292	0.30184	0.30190	0.28346	0.32434	0.35764	0.42826	0.45236	0.13198	0.27244	0.34598	0.37339	0.29256	0.30839	0.24591	0.35081	0.00452	0.00361	0.07316	0.08821	0.00494	0.02187	0.16889	0.24029	0.00000	0.00000
to_listen-s	0.08354	0.10193	0.06035	0.07229	0.00000	0.00000	0.00000	0.00000	0.07819	0.05555	0.03814	0.02286	0.01508	0.01136	0.07234	0.01063	0.00425	0.00000	0.01881	0.03323	0.00000	0.00000	0.15484	0.11340	0.00000	0.00000	0.02789	0.01925	0.00000	0.00000	0.05687	0.09417	0.07192	0.01407	0.00000	0.00000	0.18703	0.25400	0.20216	0.21832	0.00000	0.00000	0.03554	0.00453	0.03074	0.02987	0.19921	0.25277	0.28888	0.30395	0.00000	0.00326	0.01923	0.00721	0.02568	0.00000	0.00000	0.01879	0.05924	0.05176	0.03142	0.00000	0.09410	0.07914	0.12986	0.22943	0.00000	0.00000	0.00572	0.00000	0.00000	0.00000	0.00000	0.00000	0.05205	0.07653	0.04187	0.03783	0.00000	0.01676	0.03000	0.00000	0.00000	0.00452	0.04164	0.06483	0.05521	0.05965	0.00000	0.00295	0.22018	0.43307	0.19305	0.28115	0.43027	0.46692	0.49385	0.46604	0.27449	0.29947	0.28509	0.30391	0.22234	0.35530	0.18096	0.28244	0.20227	0.33038	0.58870	0.70187	0.81754	1.00000	0.27621	0.35916	0.25913	0.33057	0.29608	0.31314	0.31961	0.38501	0.36407	0.44276	0.14482	0.30300	0.32331	0.35091	0.29334	0.34739	0.21985	0.36974	0.00000	0.00000	0.05378	0.06343	0.00000	0.01468	0.09937	0.14720	0.00000	0.00000
to_massage-b	0.09343	0.10719	0.05868	0.07602	0.00000	0.00000	0.02464	0.00000	0.04974	0.05842	0.03119	0.03262	0.02719	0.01536	0.09412	0.00671	0.00893	0.00356	0.00494	0.01983	0.00000	0.00573	0.10634	0.08686	0.00000	0.00000	0.02482	0.04531	0.00000	0.00000	0.02462	0.06902	0.07131	0.01295	0.00000	0.00000	0.11530	0.19560	0.16316	0.17650	0.00000	0.01538	0.02418	0.02698	0.04784	0.03316	0.09380	0.16002	0.21843	0.23162	0.00000	0.00000	0.02248	0.00000	0.03472	0.01189	0.00668	0.01976	0.06738	0.06332	0.03304	0.00596	0.08996	0.14927	0.07304	0.14712	0.00000	0.00000	0.00000	0.01629	0.00000	0.00337	0.00761	0.00000	0.01152	0.08048	0.04854	0.03978	0.00000	0.01234	0.03407	0.00000	0.00000	0.00000	0.04652	0.06817	0.04064	0.05666	0.00000	0.00000	0.13045	0.29096	0.11322	0.21315	0.26395	0.31996	0.19475	0.25636	0.21060	0.20888	0.32133	0.42107	0.14951	0.26708	0.25460	0.40745	0.15403	0.25966	0.15321	0.27383	0.25357	0.27621	1.00000	0.77871	0.14761	0.26359	0.20004	0.24232	0.27706	0.25938	0.25874	0.32308	0.06506	0.24051	0.47145	0.48634	0.25449	0.31434	0.27978	0.48603	0.00911	0.02184	0.05655	0.06671	0.00747	0.01985	0.07353	0.09018	0.00000	0.00000
to_massage-s	0.11869	0.15503	0.11551	0.12965	0.01464	0.01119	0.04493	0.00641	0.07159	0.08693	0.05779	0.04871	0.03857	0.04704	0.14423	0.04532	0.02535	0.01299	0.00000	0.02526	0.01166	0.01741	0.14680	0.12172	0.00000	0.01063	0.04389	0.08830	0.00000	0.01398	0.03137	0.09243	0.05780	0.01575	0.01224	0.01395	0.14111	0.23698	0.21775	0.24634	0.00000	0.01496	0.05881	0.07461	0.07336	0.07639	0.16221	0.23905	0.26457	0.31917	0.00000	0.00417	0.04737	0.04991	0.05628	0.03759	0.02708	0.07093	0.11233	0.09635	0.06122	0.01690	0.12882	0.18524	0.09010	0.21346	0.01317	0.03530	0.00000	0.01848	0.00856	0.01298	0.01850	0.01638	0.00000	0.08611	0.07687	0.05067	0.02042	0.05788	0.07058	0.00433	0.00958	0.02762	0.07986	0.13263	0.06354	0.08529	0.00000	0.02197	0.15861	0.35122	0.13608	0.25304	0.35010	0.39288	0.24631	0.30050	0.23840	0.26309	0.38385	0.50015	0.18050	0.30623	0.30122	0.46712	0.21285	0.35277	0.17488	0.31999	0.33933	0.35916	0.77871	1.00000	0.19459	0.30450	0.24393	0.27701	0.27981	0.30974	0.26641	0.35651	0.08390	0.28600	0.54915	0.60171	0.28443	0.33469	0.36395	0.54828	0.02493	0.05532	0.09268	0.11445	0.01513	0.04201	0.06902	0.13093	0.00000	0.00000
to_peep-b	0.04784	0.06084	0.02311	0.04234	0.00000	0.00000	0.00000	0.00000	0.10231	0.03739	0.00956	0.00736	0.00486	0.00732	0.05530	0.00959	0.00000	0.00000	0.00000	0.01215	0.01542	0.00614	0.23872	0.13575	0.00000	0.00000	0.01693	0.00620	0.00000	0.00000	0.00754	0.02896	0.01853	0.00000	0.00000	0.00000	0.07999	0.11275	0.12546	0.07114	0.00425	0.00000	0.06836	0.02807	0.01386	0.00748	0.19444	0.20418	0.25573	0.18129	0.00000	0.00000	0.00964	0.04469	0.00827	0.00000	0.00000	0.00605	0.02726	0.03335	0.01012	0.00000	0.15915	0.12888	0.26389	0.26342	0.00000	0.00000	0.00000	0.00524	0.00000	0.00000	0.00000	0.00000	0.21933	0.06558	0.02179	0.01706	0.00000	0.03497	0.01353	0.00000	0.00507	0.00000	0.04401	0.02088	0.05292	0.05315	0.00967	0.00000	0.40560	0.45099	0.63000	0.46887	0.40245	0.37362	0.33024	0.35570	0.39125	0.38934	0.29178	0.27013	0.52525	0.46886	0.27573	0.28035	0.18560	0.21436	0.19108	0.20716	0.24292	0.25913	0.14761	0.19459	1.00000	0.82873	0.64716	0.58957	0.19155	0.26996	0.19869	0.18630	0.49303	0.53275	0.19514	0.17381	0.29147	0.28056	0.22813	0.27069	0.00000	0.00000	0.02636	0.02384	0.00534	0.00473	0.23860	0.28286	0.00000	0.00777
to_peep-s	0.07512	0.08845	0.05241	0.06316	0.00000	0.00000	0.00000	0.00000	0.09997	0.06899	0.02250	0.01734	0.01144	0.00862	0.05426	0.00000	0.01128	0.00674	0.00000	0.02623	0.00000	0.00000	0.23495	0.15737	0.00000	0.00000	0.02848	0.01461	0.00000	0.00000	0.01777	0.06441	0.03274	0.00000	0.00000	0.00322	0.14272	0.22129	0.16369	0.15527	0.00000	0.00000	0.07865	0.02671	0.03591	0.02864	0.19475	0.23710	0.35925	0.29048	0.00000	0.00000	0.02081	0.04784	0.01948	0.00000	0.00000	0.01425	0.04494	0.03927	0.03708	0.01254	0.18425	0.14677	0.25528	0.30214	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14550	0.10973	0.04751	0.02870	0.00000	0.03858	0.01912	0.00000	0.00000	0.01000	0.05068	0.06148	0.09652	0.10474	0.00000	0.00000	0.42547	0.52442	0.61781	0.56485	0.49482	0.52129	0.38946	0.49396	0.42328	0.43683	0.34423	0.36325	0.55292	0.61850	0.28032	0.36111	0.23337	0.30475	0.25396	0.28665	0.30184	0.33057	0.26359	0.30450	0.82873	1.00000	0.68228	0.70210	0.29055	0.34505	0.27370	0.31992	0.49159	0.64636	0.33512	0.31330	0.41706	0.41332	0.26511	0.42500	0.00000	0.00766	0.03725	0.04492	0.00000	0.01114	0.23455	0.29230	0.00000	0.00000
to_peer_at-b	0.11063	0.11357	0.07297	0.08741	0.00000	0.00000	0.00000	0.00000	0.11322	0.07719	0.08966	0.07304	0.01823	0.01963	0.08154	0.01157	0.00000	0.00000	0.00000	0.03584	0.02481	0.00988	0.25026	0.14896	0.00000	0.00000	0.05836	0.06650	0.00742	0.00000	0.02831	0.07246	0.05963	0.00000	0.00000	0.00000	0.04679	0.14268	0.21223	0.20294	0.00684	0.00000	0.06951	0.05200	0.04014	0.02809	0.21570	0.24177	0.26269	0.25300	0.00000	0.00000	0.05039	0.05990	0.03105	0.00000	0.00000	0.02272	0.07163	0.07025	0.05247	0.00000	0.17411	0.14884	0.24282	0.28756	0.02335	0.05365	0.00000	0.01592	0.00000	0.00000	0.00000	0.00000	0.14907	0.11103	0.05841	0.05358	0.03379	0.05676	0.03047	0.00000	0.05164	0.03826	0.11957	0.12654	0.10682	0.12796	0.01556	0.00000	0.34122	0.44364	0.65315	0.58344	0.45128	0.39338	0.27315	0.24996	0.38617	0.37687	0.34825	0.31918	0.57790	0.56962	0.25725	0.30794	0.28505	0.28173	0.17616	0.20617	0.30190	0.29608	0.20004	0.24393	0.64716	0.68228	1.00000	0.83406	0.20889	0.29241	0.20905	0.20446	0.49131	0.57833	0.30082	0.28818	0.28596	0.27547	0.27546	0.35858	0.00000	0.00000	0.06785	0.07158	0.00858	0.01775	0.23807	0.27858	0.00000	0.00500
to_peer_at-s	0.12600	0.11869	0.08607	0.09124	0.00000	0.00000	0.00000	0.00000	0.14280	0.11280	0.04118	0.05288	0.01396	0.01052	0.09267	0.03100	0.00000	0.00000	0.00000	0.03491	0.01477	0.02940	0.25419	0.17535	0.00000	0.00000	0.08686	0.08215	0.00000	0.00000	0.02167	0.07395	0.03994	0.00000	0.00000	0.00000	0.14856	0.22459	0.18614	0.18259	0.00000	0.00000	0.10045	0.07821	0.03983	0.03225	0.21349	0.24170	0.36090	0.29489	0.00000	0.00000	0.06115	0.09045	0.03961	0.01465	0.00000	0.01739	0.05482	0.05931	0.07755	0.03670	0.18935	0.16276	0.26086	0.31872	0.03476	0.07985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14200	0.11568	0.09505	0.07936	0.04311	0.07150	0.03110	0.01096	0.00485	0.01464	0.07025	0.09100	0.17289	0.21295	0.00000	0.00000	0.40851	0.49196	0.68749	0.70033	0.47339	0.48627	0.30065	0.30580	0.40823	0.40914	0.38676	0.41198	0.64345	0.69622	0.31554	0.41705	0.25455	0.29915	0.23757	0.25119	0.28346	0.31314	0.24232	0.27701	0.58957	0.70210	0.83406	1.00000	0.25805	0.35466	0.25848	0.28154	0.58449	0.73206	0.34261	0.32414	0.39591	0.38382	0.30103	0.45190	0.00000	0.00747	0.06816	0.05936	0.02555	0.03850	0.25830	0.29852	0.00000	0.00000
to_shout-b	0.05024	0.06310	0.05273	0.04347	0.00000	0.00000	0.00000	0.00000	0.05892	0.03490	0.01784	0.01375	0.02041	0.02733	0.03613	0.00000	0.00000	0.00000	0.05443	0.06049	0.00000	0.00000	0.22947	0.15912	0.00423	0.00350	0.02258	0.01736	0.09366	0.02532	0.05809	0.06457	0.07569	0.04258	0.00000	0.00000	0.11539	0.13471	0.15174	0.15672	0.04366	0.03849	0.03080	0.00476	0.06987	0.05239	0.16897	0.21176	0.21106	0.18544	0.00000	0.00000	0.02249	0.00758	0.02059	0.00000	0.00000	0.01130	0.03562	0.03113	0.02520	0.00596	0.14404	0.10311	0.15891	0.22968	0.00813	0.00623	0.05117	0.03912	0.00000	0.00000	0.00508	0.00368	0.04037	0.08376	0.03615	0.02275	0.00000	0.01235	0.01515	0.00534	0.02129	0.00793	0.02739	0.03899	0.04649	0.03847	0.03010	0.02480	0.21540	0.33550	0.19927	0.26423	0.32246	0.32971	0.22946	0.25152	0.29070	0.37948	0.21233	0.22879	0.18146	0.28806	0.17758	0.23373	0.22315	0.26108	0.27379	0.32829	0.32434	0.31961	0.27706	0.27981	0.19155	0.29055	0.20889	0.25805	1.00000	0.79139	0.46538	0.54068	0.16869	0.28101	0.30104	0.30312	0.24697	0.27207	0.17101	0.28373	0.00000	0.00000	0.02953	0.03560	0.04483	0.03090	0.18204	0.15895	0.06731	0.03191
to_shout-s	0.08047	0.09492	0.08313	0.07432	0.00000	0.00721	0.00412	0.00000	0.08320	0.05323	0.02981	0.02297	0.01516	0.02427	0.06254	0.01122	0.00560	0.00000	0.00620	0.01659	0.02647	0.02275	0.22651	0.15268	0.00000	0.00658	0.02453	0.02016	0.05128	0.01250	0.02942	0.05270	0.05241	0.01625	0.00000	0.00000	0.11534	0.15655	0.12681	0.12320	0.01327	0.01415	0.05056	0.02057	0.02920	0.02919	0.19482	0.23117	0.26038	0.21308	0.00000	0.00287	0.03008	0.02535	0.02581	0.01193	0.00000	0.02361	0.03721	0.04367	0.06317	0.03239	0.14546	0.07733	0.12616	0.25223	0.00000	0.00781	0.00000	0.00272	0.00000	0.00635	0.00000	0.00461	0.07952	0.07807	0.05854	0.02377	0.00702	0.03244	0.03483	0.00670	0.01384	0.02452	0.05264	0.06435	0.07041	0.05500	0.00503	0.01878	0.27684	0.40866	0.27428	0.32778	0.40853	0.39742	0.30497	0.30059	0.38718	0.40852	0.24946	0.26631	0.24344	0.35184	0.20970	0.26646	0.20366	0.27120	0.27065	0.32086	0.35764	0.38501	0.25938	0.30974	0.26996	0.34505	0.29241	0.35466	0.79139	1.00000	0.44448	0.59604	0.21764	0.34410	0.28753	0.27562	0.28379	0.30411	0.21438	0.31954	0.00381	0.01218	0.04318	0.03719	0.01977	0.03044	0.20069	0.20038	0.00000	0.00000
to_sing-b	0.09185	0.10565	0.05950	0.06275	0.00000	0.00399	0.00000	0.00609	0.08329	0.07154	0.03347	0.04067	0.04320	0.02564	0.06109	0.01680	0.00000	0.00617	0.02857	0.02074	0.00000	0.01655	0.31296	0.30112	0.00489	0.00808	0.01825	0.03787	0.02797	0.00532	0.09350	0.12831	0.10238	0.03955	0.00000	0.00000	0.32917	0.31353	0.28757	0.28524	0.00458	0.01067	0.05462	0.03117	0.09263	0.06453	0.26918	0.33010	0.28143	0.32654	0.00000	0.00000	0.02987	0.02627	0.04012	0.00824	0.00000	0.01631	0.06611	0.08087	0.04910	0.03442	0.17152	0.19234	0.29910	0.32981	0.00939	0.01438	0.00695	0.01129	0.00000	0.00974	0.00586	0.00425	0.07491	0.16553	0.08219	0.04072	0.01213	0.04075	0.06708	0.01543	0.00546	0.01190	0.06167	0.06640	0.07213	0.08535	0.03475	0.01253	0.27322	0.35999	0.17144	0.23995	0.35849	0.39353	0.27613	0.27301	0.28322	0.33978	0.21498	0.22240	0.19299	0.27505	0.15156	0.24055	0.30005	0.36627	0.31976	0.38550	0.42826	0.36407	0.25874	0.26641	0.19869	0.27370	0.20905	0.25848	0.46538	0.44448	1.00000	0.65099	0.15548	0.26523	0.32717	0.32537	0.35201	0.33969	0.20521	0.28706	0.00527	0.01262	0.05114	0.05910	0.01869	0.02039	0.21020	0.25820	0.00777	0.00000
to_sing-s	0.06632	0.08675	0.04191	0.04872	0.01297	0.00774	0.00663	0.00630	0.03552	0.04459	0.02599	0.02311	0.02846	0.01838	0.04512	0.00602	0.01002	0.00319	0.01109	0.01271	0.00000	0.00000	0.11331	0.10700	0.01518	0.01726	0.03239	0.01816	0.03909	0.00413	0.04103	0.07270	0.06980	0.01162	0.00678	0.01030	0.21908	0.25477	0.12570	0.14408	0.00356	0.00552	0.03748	0.00570	0.04757	0.03132	0.09258	0.15545	0.25907	0.27641	0.01266	0.00615	0.01613	0.00680	0.02654	0.00427	0.01199	0.01942	0.03993	0.04685	0.04095	0.02673	0.04843	0.05808	0.13108	0.15709	0.00000	0.00372	0.00540	0.00585	0.01895	0.00908	0.01365	0.00659	0.01034	0.07221	0.03748	0.02550	0.00000	0.01107	0.03510	0.00719	0.00424	0.00711	0.03192	0.04894	0.03907	0.05265	0.02159	0.00973	0.16533	0.32351	0.12962	0.23198	0.27836	0.36526	0.28629	0.36308	0.22480	0.23644	0.25522	0.30246	0.17126	0.33526	0.15230	0.30523	0.10925	0.26580	0.34929	0.46522	0.45236	0.44276	0.32308	0.35651	0.18630	0.31992	0.20446	0.28154	0.54068	0.59604	0.65099	1.00000	0.09552	0.30454	0.31868	0.34164	0.33734	0.39945	0.16085	0.38038	0.02044	0.01143	0.03751	0.04389	0.01563	0.01385	0.05209	0.08575	0.00000	0.00000
to_spot-b	0.03816	0.03697	0.01170	0.00000	0.00471	0.00000	0.00000	0.00000	0.10815	0.03920	0.00436	0.00000	0.00000	0.00000	0.02772	0.01749	0.00873	0.00870	0.00483	0.00554	0.00844	0.00000	0.25333	0.14533	0.00000	0.00000	0.03307	0.02450	0.00000	0.00674	0.00000	0.02346	0.00422	0.00000	0.00000	0.00000	0.07954	0.09045	0.08537	0.02594	0.00000	0.00000	0.10099	0.05971	0.01516	0.01023	0.19099	0.16803	0.26010	0.14941	0.00000	0.00000	0.02856	0.09073	0.00754	0.00000	0.00000	0.00368	0.00000	0.00869	0.01230	0.01165	0.19343	0.15622	0.33366	0.26744	0.01323	0.03648	0.00000	0.00000	0.00459	0.00000	0.00000	0.00000	0.25906	0.07551	0.01986	0.00444	0.01641	0.05772	0.00740	0.00522	0.01155	0.01239	0.04547	0.01713	0.09647	0.10185	0.00000	0.00000	0.50200	0.44356	0.87381	0.86151	0.41710	0.35605	0.22409	0.19528	0.41875	0.41771	0.30504	0.25991	0.84566	0.73440	0.31544	0.29153	0.17635	0.13940	0.18182	0.13178	0.13198	0.14482	0.06506	0.08390	0.49303	0.49159	0.49131	0.58449	0.16869	0.21764	0.15548	0.09552	1.00000	0.78751	0.12847	0.07922	0.31656	0.23747	0.24397	0.23091	0.00000	0.00711	0.01442	0.00000	0.01216	0.00000	0.29315	0.34599	0.00000	0.00000
to_spot-s	0.09678	0.11194	0.05025	0.04940	0.00972	0.00557	0.00994	0.00425	0.09995	0.07036	0.05574	0.05265	0.02468	0.04683	0.06867	0.01624	0.02523	0.01508	0.05986	0.08003	0.01625	0.01155	0.25342	0.16752	0.00000	0.00423	0.05826	0.05834	0.02735	0.03062	0.01136	0.05933	0.07934	0.05897	0.00813	0.00926	0.17697	0.23932	0.14364	0.12530	0.05601	0.04283	0.12153	0.08068	0.12103	0.09788	0.19050	0.22945	0.38496	0.28972	0.00000	0.00277	0.04172	0.10702	0.02283	0.01343	0.01078	0.03037	0.04104	0.03586	0.05587	0.02885	0.18512	0.16416	0.30882	0.32173	0.01967	0.04519	0.06189	0.05258	0.00568	0.00408	0.01228	0.00890	0.19530	0.10001	0.04737	0.02201	0.02711	0.07683	0.02037	0.00646	0.04960	0.05882	0.09276	0.10296	0.11597	0.13635	0.04369	0.03875	0.48687	0.53724	0.75931	0.88003	0.48410	0.52152	0.28869	0.33973	0.45710	0.47327	0.40696	0.40286	0.81249	0.87664	0.32998	0.42612	0.21072	0.28628	0.27124	0.28155	0.27244	0.30300	0.24051	0.28600	0.53275	0.64636	0.57833	0.73206	0.28101	0.34410	0.26523	0.30454	0.78751	1.00000	0.35291	0.33222	0.46520	0.43193	0.29203	0.44016	0.02206	0.02937	0.05357	0.04127	0.04619	0.04272	0.26548	0.33673	0.07328	0.04093
to_stroke-b	0.17825	0.18173	0.12706	0.15342	0.00000	0.00432	0.01647	0.00000	0.10941	0.12165	0.06143	0.05881	0.10505	0.15259	0.14112	0.02242	0.00560	0.00297	0.28918	0.29906	0.01202	0.01077	0.25125	0.21156	0.01060	0.01534	0.06785	0.13208	0.12268	0.12105	0.04409	0.12912	0.35294	0.24885	0.00000	0.00000	0.12844	0.31277	0.36074	0.42465	0.22531	0.20500	0.06429	0.06364	0.36186	0.27046	0.27298	0.36903	0.32093	0.38121	0.00000	0.00000	0.06384	0.05382	0.07090	0.01589	0.00000	0.04716	0.11577	0.11786	0.07888	0.05724	0.21169	0.23728	0.24543	0.32571	0.04752	0.07537	0.27765	0.20820	0.00000	0.00916	0.01271	0.01381	0.04573	0.16540	0.10186	0.07122	0.02806	0.06260	0.06431	0.03346	0.05727	0.06288	0.08917	0.14646	0.13704	0.17159	0.16333	0.14818	0.23431	0.42937	0.19245	0.32858	0.42671	0.47904	0.25618	0.28662	0.31245	0.40406	0.43930	0.49991	0.24717	0.34337	0.28791	0.45281	0.39342	0.49905	0.20245	0.30194	0.34598	0.32331	0.47145	0.54915	0.19514	0.33512	0.30082	0.34261	0.30104	0.28753	0.32717	0.31868	0.12847	0.35291	1.00000	0.87501	0.31087	0.35489	0.46470	0.57863	0.00381	0.02281	0.11093	0.11517	0.18193	0.16492	0.17784	0.24178	0.34561	0.17315
to_stroke-s	0.18383	0.19113	0.12916	0.15800	0.00849	0.00851	0.03474	0.00929	0.10234	0.11494	0.06283	0.05568	0.10461	0.16004	0.14089	0.02365	0.01260	0.01004	0.30676	0.31760	0.00406	0.00606	0.24013	0.19512	0.00596	0.00863	0.07157	0.15223	0.13537	0.12890	0.05952	0.14386	0.38465	0.27455	0.00710	0.00809	0.16257	0.33361	0.36947	0.45095	0.24324	0.22287	0.05890	0.09230	0.39376	0.30880	0.26561	0.38878	0.33276	0.41148	0.00000	0.00242	0.07288	0.05743	0.06799	0.01509	0.00942	0.05638	0.13354	0.12765	0.07432	0.04830	0.15538	0.17601	0.19366	0.31321	0.04582	0.07018	0.30638	0.22276	0.00496	0.00357	0.01788	0.01554	0.00812	0.16566	0.09153	0.07612	0.03552	0.06214	0.05783	0.03200	0.05999	0.06312	0.09454	0.16203	0.11666	0.15834	0.18022	0.15616	0.17933	0.40802	0.14588	0.29762	0.39874	0.46117	0.25122	0.29147	0.28413	0.37607	0.46716	0.54600	0.21305	0.31901	0.30186	0.51005	0.36817	0.51135	0.18736	0.31358	0.37339	0.35091	0.48634	0.60171	0.17381	0.31330	0.28818	0.32414	0.30312	0.27562	0.32537	0.34164	0.07922	0.33222	0.87501	1.00000	0.31261	0.36056	0.47716	0.61390	0.01445	0.02181	0.11787	0.13324	0.18949	0.17259	0.15416	0.22110	0.37224	0.19106
to_think-b	0.08352	0.09374	0.05646	0.04152	0.00000	0.00440	0.00000	0.00448	0.07374	0.07889	0.03123	0.01750	0.02021	0.02175	0.04765	0.00855	0.00569	0.00907	0.02206	0.02046	0.01467	0.01095	0.30703	0.23828	0.00000	0.00446	0.02588	0.02334	0.01234	0.00586	0.08070	0.13385	0.06609	0.01650	0.00000	0.00000	0.42352	0.39937	0.17852	0.19111	0.00000	0.01568	0.09246	0.05460	0.10051	0.05560	0.24505	0.27303	0.47034	0.40734	0.00000	0.01093	0.02291	0.06760	0.02786	0.00606	0.00000	0.01079	0.04050	0.04672	0.06216	0.05315	0.19871	0.18686	0.29949	0.32247	0.00000	0.00529	0.00767	0.00830	0.00598	0.01289	0.01293	0.00000	0.16156	0.14768	0.05036	0.02752	0.00803	0.04943	0.03056	0.02041	0.00602	0.02827	0.06626	0.06702	0.11839	0.14698	0.03066	0.01382	0.49872	0.49575	0.32341	0.36627	0.49801	0.54905	0.25171	0.29787	0.43959	0.43820	0.29586	0.35526	0.35675	0.45323	0.24252	0.38337	0.24677	0.32159	0.26697	0.27811	0.29256	0.29334	0.25449	0.28443	0.29147	0.41706	0.28596	0.39591	0.24697	0.28379	0.35201	0.33734	0.31656	0.46520	0.31087	0.31261	1.00000	0.72974	0.24553	0.40605	0.00581	0.01855	0.03447	0.03967	0.01586	0.01405	0.29593	0.40654	0.00000	0.00000
to_think-s	0.08457	0.10622	0.04304	0.04879	0.00541	0.00000	0.00000	0.00592	0.07069	0.06463	0.03253	0.03085	0.03308	0.02492	0.05213	0.00754	0.01505	0.01399	0.02221	0.02546	0.00000	0.00000	0.23327	0.22653	0.00000	0.00393	0.03294	0.02598	0.00000	0.00517	0.02766	0.09437	0.05825	0.02909	0.00000	0.00000	0.28692	0.34725	0.20176	0.20271	0.04009	0.05011	0.07161	0.03654	0.06389	0.05292	0.20719	0.27033	0.38632	0.37200	0.00000	0.00000	0.02524	0.03830	0.02888	0.00534	0.00000	0.01268	0.03998	0.04991	0.04595	0.03346	0.16334	0.20622	0.25147	0.31394	0.00000	0.00466	0.00676	0.00732	0.00000	0.00379	0.01139	0.00000	0.13915	0.11208	0.04565	0.02553	0.00707	0.03861	0.03969	0.01499	0.00531	0.02314	0.04918	0.05688	0.07499	0.10454	0.04391	0.03827	0.36261	0.47243	0.27406	0.35060	0.39463	0.48745	0.27148	0.34579	0.38334	0.40423	0.31946	0.37205	0.31441	0.45384	0.25562	0.38492	0.23067	0.35051	0.26338	0.33878	0.30839	0.34739	0.31434	0.33469	0.28056	0.41332	0.27547	0.38382	0.27207	0.30411	0.33969	0.39945	0.23747	0.43193	0.35489	0.36056	0.72974	1.00000	0.22956	0.43822	0.00512	0.01226	0.04971	0.05244	0.01398	0.01486	0.25646	0.27666	0.00000	0.00488
