FeatureEn	FeatureIt	FeatureTypeCoarse	FeatureTypeGranular	TotCountBlind	TotCountSighted	ConceptCountBlind	ConceptCountSighted	NegatedCountBlind	NegatedPercentageBlind	NegatedCountSighted	NegatedPercentageSighted	DistinguishingBlind	DistinguishingSighted	DistinctivenessBlind	DistinctivenessSighted
cut	a_taglio:taglio	tax:eco:eab	exa:eco:eab	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cute	carino	ppe:eva	ppe:eva	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cutlery	posata:coltelleria	isa:par	isa:hol	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cylinder	cilindro	ppe:isa:eco	ppe:isa:eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cylindrical	cilindrico	ppe	ppe	8	3	2	1	0	0.0	0	0.0	D	D	0.500	1.000
daily	quotidiana:quotidianamente:giornaliero	tim	tim	12	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
daisy	margherita	tax:par:eco	mer:exa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
danger	pericolo	eab:eco:spa	eab:eco:spa	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dangerous	pericoloso	pnp	pnp	10	14	2	3	1	10.0	0	0.0	D	ND	0.500	0.333
dark	scuro:buio	ppe:eco:spa:man	ppe:eco:spa:man	7	11	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
dark_green	verde_scuro	ppe	ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dark_purple	viola_scuro	ppe	ppe	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dark_red	rosso_scuro	ppe	ppe	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
darkness	buio:oscurità	eco:tim:spa	eco:tim:spa	5	4	2	1	0	0.0	0	0.0	D	D	0.500	1.000
day	giornata:giorno	tim:eco	tim:eco	7	15	1	4	0	0.0	0	0.0	D	ND	1.000	0.250
deal	affare	eab:isa:eco	eab:isa:eco	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
dear	caro	eva:pnp	eva:pnp	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dear_one	caro	eco:eva	eco:eva	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
death	morte:morto	eco:eab	eco:eab	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
decision	decisione	eab:tax:eco	eab:exa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
deckchair	sdraio	eco	eco	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
deep	profondo:a_fondo	ppe:pnp:man:tax:eva	ppe:pnp:man:exa:eva	11	9	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
defense	difesa	eab:tax:isa	eab:isa:exa	4	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
delicacy	delicatezza:raffinato:prelibatezza	man:eab:ppe:eco	man:eab:ppe:eco	8	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
democracy	democrazia	eab:spa	eab:spa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
designer	disegnatore	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dessert	dessert:dolce	eco:tax	eco:exa	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
diabetic	diabetico	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
diaphragm	diaframma	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
diesel	diesel	eco:tax	eco:exa	3	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
different	diverso:vario:diverse:differente	qua:pnp:ppe:man:eva	qua:pnp:ppe:man:eva	16	20	2	2	1	6.2	0	0.0	D	D	0.500	0.500
difficult	difficile:difficoltoso	pnp:eva	pnp:eva	11	10	2	1	0	0.0	0	0.0	D	D	0.500	1.000
difficulty	difficoltà	eab:eco:man	eab:eco:man	7	10	1	1	0	0.0	0	0.0	D	D	1.000	1.000
dinner	cena	eco:tim	eco:tim	5	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
discomfort	disagio	eab:isa	eab:isa	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
discovery_of_america	scoperta_america	tim:eco	tim:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
disease	malattia	eco:eab	eco:eab	0	4	0	2	NA	NA	0	0.0	NA	D	NA	0.500
dish	piatto:pietanza	eco:spa:isa	eco:spa:isa	14	16	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
displacement	cilindrata	par:eab	mer:eab	6	7	2	2	0	0.0	0	0.0	D	D	0.500	0.500
distance	lontananza:distanza	spa:eco:man:eab	spa:eco:man:eab	24	28	7	6	0	0.0	0	0.0	ND	ND	0.143	0.167
distortion	distorsione	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
divine	divino:divina	tax:eab	exa:eab	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
divinity	divinità	eab	eab	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dog	cane	eco:tax	eco:coo	9	4	2	1	0	0.0	0	0.0	D	D	0.500	1.000
donkey	asino	tax	coo	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
door	porta:sportello	spa:par:eco	spa:mer:eco	19	17	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
doubt	dubbio	eab	eab	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
doughy	pastoso	ppe	ppe	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
draft	da_tiro	tax	exa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
draught	da_tiro:da_traino	tax	exa	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
dress	vestito	tax:eco	exa:eco	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
dressing	condimento	eco:isa:tax:spa	eco:isa:spa:exa	6	6	2	1	0	0.0	0	0.0	D	D	0.500	1.000
drink	bevanda:bibita:consumazione	eco:par	eco:mer	11	16	2	1	0	0.0	0	0.0	D	D	0.500	1.000
driver	guidatore:conducente:automobilista	eco	eco	4	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
driving_license	patente	eco	eco	0	7	0	2	NA	NA	0	0.0	NA	D	NA	0.500
drug	droga:medicina	eco	eco	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
duck	anatra	tax	coo	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
dumpling	gnocco	eco	eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
duty	dovere	eab	eab	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
ear	orecchio:spiga	eco:par:spa	eco:mer:spa	30	36	5	5	0	0.0	0	0.0	ND	ND	0.200	0.200
earth	terra:terreno:suolo	spa:eco:par	spa:eco:mad:mer	6	12	1	2	0	0.0	0	0.0	D	D	1.000	0.500
earth_'s_crust	crosta_terrestre	par:isa	mad:isa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
earth_'s_surface	superficie_terrestre	spa:eco:isa	spa:eco:isa	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
easy	facile	pnp	pnp	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
economic	economico	pnp:eco:ppe	pnp:eco:ppe	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
egg	uovo	eco	eco	2	6	1	2	0	0.0	0	0.0	D	D	1.000	0.500
egyptian	egiziano	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
election	elezione:votazione	eco	eco	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
electric	elettrico	tax:pnp	exa:pnp	6	4	1	2	0	0.0	0	0.0	D	D	1.000	0.500
electrician	elettricista	eco	eco	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
elegance	eleganza	eab	eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
elegant	elegante:signorile:raffinato	pnp:tax:eva	pnp:exa:eva	2	9	1	2	0	0.0	0	0.0	D	D	1.000	0.500
emotion	emozione	eab:isa	eab:isa	9	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
end	fine:estremità:termine:fondo	spa:tim:par:ppe	spa:tim:mer:ppe	10	12	3	2	0	0.0	0	0.0	ND	D	0.333	0.500
enemy	nemico	eco:eab:isa	eco:eab:isa	0	7	0	1	NA	NA	0	0.0	NA	D	NA	1.000
engine	motore:a_motore:motrice:macchina	par:tax:eco	mer:exa:eco:coo	24	37	4	5	0	0.0	0	0.0	ND	ND	0.250	0.200
english	inglese	tax:spa	exa:spa	4	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
enough	abbastanza:basta	qua	qua	0	15	0	3	NA	NA	0	0.0	NA	ND	NA	0.333
entity	entità	eab	eab	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
entrance	ingresso:entrata	par:spa	mer:spa	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
environment	ambiente:luogo	isa:spa:eco	isa:spa:eco	24	11	4	3	0	0.0	0	0.0	ND	ND	0.250	0.333
envy	invidia	tax:eab	eab:coo	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
equal	uguale	pnp:man	pnp:man	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
equality	uguaglianza	tax:eab	syn:eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
equatorial_region	zona_equatoriale	spa	spa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
equine	equino	isa:eco	isa:eco	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
ergonomic	ergonomico	ppe	ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
especially	soprattutto:specialmente	qua:tim:eva:eab	qua:tim:eva:eab	32	36	5	6	0	0.0	0	0.0	ND	ND	0.200	0.167
essential	indispensabile:fondamentale	eva:pnp:man	eva:pnp:man	0	8	0	2	NA	NA	0	0.0	NA	D	NA	0.500
esteem	stima	eab	eab	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
europe	europa	spa:eco	spa:eco	13	13	3	2	0	0.0	0	0.0	ND	D	0.333	0.500
event	evento:avvenimento:manifestazione:fatto	eab:eco	eab:eco	15	21	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
every	tutto	qua	qua	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
everyone	tutti	qua	qua	0	9	0	1	NA	NA	0	0.0	NA	D	NA	1.000
everywhere	ovunque:dapperttutto:dappertutto:dovunque	spa	spa	9	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
evil	male:cattivo	man:eva:pnp:eab	man:eva:pnp:eab	4	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
examination	esame	eco	eco	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
excellent	ottimo	eva:pnp:isa	eva:pnp:isa	0	9	0	2	NA	NA	0	0.0	NA	D	NA	0.500
exclusively	esclusivamente	qua:man	qua:man	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
existence	esistenza	eab:eco	eab:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
exotic	esotico	spa	spa	13	16	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
expanse	distesa	isa:spa:ppe:eab	isa:spa:ppe:eab	20	25	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
expensive	costoso:caro	pnp:ppe	pnp:ppe	0	7	0	1	NA	NA	0	0.0	NA	D	NA	1.000
experience	esperienza	eab:eco:tim	eab:eco:tim	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
expression	espressione	isa:eab:tax	isa:eab:exa	7	6	1	2	0	0.0	0	0.0	D	D	1.000	0.500
extension	estensione	isa:spa	isa:spa	5	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
external	esterno:esteriore	spa	spa	0	8	0	2	NA	NA	0	0.0	NA	D	NA	0.500
eye	occhio	eco:par:spa	eco:mer:spa	13	33	4	6	0	0.0	0	0.0	ND	ND	0.250	0.167
face	volto:viso:faccia:parete	eco:spa:par	eco:spa:mer	3	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
fact	fatto	eco:eab:isa:spa	eco:eab:isa:spa	0	12	0	4	NA	NA	0	0.0	NA	ND	NA	0.250
faith	fede	eab:isa	eab:isa	5	7	1	2	0	0.0	0	0.0	D	D	1.000	0.500
faithful	fedele	pnp:eco	pnp:eco	8	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
family	famiglia:familiare	eco:spa:par:tax	eco:spa:hol:exa	15	18	2	5	0	0.0	0	0.0	D	ND	0.500	0.200
famous	famoso	pnp	pnp	11	7	1	1	0	0.0	0	0.0	D	D	1.000	1.000
fan	fan:appassionato	pnp:eco	pnp:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fantasy	fantasia	eab	eab	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
far	lontano	spa	spa	6	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
far_away	lontano	spa	spa	19	19	4	3	0	0.0	0	0.0	ND	ND	0.250	0.333
fast	veloce:rapido	pnp:ppe:tim:man	pnp:ppe:tim:man	11	12	3	4	0	0.0	0	0.0	ND	ND	0.333	0.250
fauna	fauna	eco:par	eco:mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fear	paura:timore	eab:isa:tax:eva	eab:isa:coo:eva	20	21	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
feather	piuma:penna	par	mer	7	6	2	2	0	0.0	0	0.0	D	D	0.500	0.500
feeling	sentimento:sensazione	isa:eab:eve:eco	isa:eab:eve:eco	102	132	15	12	0	0.0	0	0.0	ND	ND	0.067	0.083
feline	felino	isa:tax	isa:coo	4	11	1	1	0	0.0	0	0.0	D	D	1.000	1.000
female	femmina:femminile	eco:eab	eco:eab	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
ferry	traghetto:ferry	tax:eco	exa:eco	3	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
field	campo	spa:isa:eco	spa:isa:eco	0	5	0	2	NA	NA	0	0.0	NA	D	NA	0.500
fierce	feroce	pnp:ppe	pnp:ppe	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
fin	pinna	par	mer	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
finger	dito	eco:spa	eco:spa	9	12	1	4	0	0.0	0	0.0	D	ND	1.000	0.250
fingertip	polpastrello	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fir	abete	par:tax	mer:exa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
first_course	primo	eco:spa	eco:spa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
fish	pesce	eco:par:tax	eco:mer:exa	17	34	2	5	0	0.0	0	0.0	D	ND	0.500	0.200
flan	sformato	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
flat	piatto:schiacciato:appartamento:piano:pari	ppe:tax:spa:eva	ppe:exa:spa:eva	9	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
flight	volo	eco:spa:eab	eco:spa:eab	0	6	0	2	NA	NA	0	0.0	NA	D	NA	0.500
flock	stormo:gregge	par:eco	hol:eco	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
floor	piano:pavimento:fondo	eco:spa:par	eco:spa:mer	0	7	0	1	NA	NA	0	0.0	NA	D	NA	1.000
flora	flora	par:eco	mer:eco:hol	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
florence	firenze	spa	spa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
flower	fiore	par:eco	mer:eco	9	14	1	2	0	0.0	0	0.0	D	D	1.000	0.500
food	cibo:alimento:alimentare:nutrimento:vivanda:mangiare:cibario:(genere_)alimentare	eco:isa:tax:ppe:par:eve:eab	eco:isa:exa:ppe:hol:eve:eab	43	44	10	10	0	0.0	0	0.0	ND	ND	0.100	0.100
foot	piede	par:eco:tax	mer:eco:coo	0	9	0	2	NA	NA	0	0.0	NA	D	NA	0.500
forest	foresta	spa:tax:par:eco	spa:mer:eco:exa:coo	12	4	2	1	0	0.0	0	0.0	D	D	0.500	1.000
fork	forchetta:bidente	tax:eco	coo:eco	3	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
form	forma	isa:eco:ppe:eab	isa:eco:ppe:eab	9	19	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
four	quattro	qua	qua	0	19	0	5	NA	NA	0	0.0	NA	ND	NA	0.200
free	libero	pnp	pnp	13	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
freedom	libertà	eab:spa:isa	eab:spa:isa	8	9	1	2	0	0.0	0	0.0	D	D	1.000	0.500
freely	liberamente	man	man	4	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
frequency	frequenza	eab:eco	eab:eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fresco	affresco	par:eco	mer:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
fresh	fresco	ppe:pnp:eco	ppe:pnp:eco	10	3	3	1	0	0.0	0	0.0	ND	D	0.333	1.000
friend	amico	eco:isa:pnp:eab	eco:isa:pnp:eab	30	15	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
friendship	amicizia	eab:eco:spa:isa	eab:eco:spa:isa	8	5	2	1	0	0.0	0	0.0	D	D	0.500	1.000
from_city_to_city	da_città_a_città	spa	spa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
from_continent_to_continent	da_continente_a_continente	spa	spa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
from_place_to_place	da_posto_a_posto:da_luogo_a_luogo	spa	spa	10	22	3	6	0	0.0	0	0.0	ND	ND	0.333	0.167
fruit	frutto	isa:eco:par	isa:eco:mer	128	135	9	8	0	0.0	0	0.0	ND	ND	0.111	0.125
fruit_salad	macedonia	spa:eco:tax	spa:eco:exa	13	5	4	2	0	0.0	0	0.0	ND	D	0.250	0.500
fuel	carburante:combustibile	eco:man	eco:man	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fun	divertimento:allegria:svago:spasso	eab:tax:eva:eco	eab:exa:eva:eco:coo	11	8	2	2	0	0.0	0	0.0	D	D	0.500	0.500
function	funzione	eab:eco:man:isa	eab:eco:man:isa	0	11	0	2	NA	NA	0	0.0	NA	D	NA	0.500
fundamental	fondamentale:base	pnp:man:eva:ppe:isa:eab	pnp:man:eva:ppe:isa:eab	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
funny	buffo:divertente	eva	eva	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
fur	pelo:pelliccia	par:eco:man	mer:eco:man	14	19	4	3	0	0.0	0	0.0	ND	ND	0.250	0.333
furniture	mobile:arredamento	eco:tax:spa:par	eco:spa:exa:mer	5	7	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
furtive	furtivo	pnp:man	pnp:man	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
furtively	sottecchio	man	man	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
future	futuro:avvenire	tim:eab	tim:eab	4	7	1	1	0	0.0	0	0.0	D	D	1.000	1.000
game	gioco	eco:eab	eco:eab	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
garbage	rifiuto	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
garden	orto:giardino	spa:eco:tax:par	spa:eco:mer:exa:coo	14	25	3	7	0	0.0	0	0.0	ND	ND	0.333	0.143
gear	marcia	par	mer	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
gearshift	cambio	par	mer	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
generally	generalmente:in_generale	tim:qua:man	tim:qua:man	28	14	2	1	0	0.0	0	0.0	D	D	0.500	1.000
gently	delicatamente:dolcemente	man	man	6	5	2	1	0	0.0	0	0.0	D	D	0.500	1.000
geographical	geografico	pnp:spa	pnp:spa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
gesture	gesto	isa:eco:eab	isa:eco:eab	11	7	2	1	0	0.0	0	0.0	D	D	0.500	1.000
gift	dote:dono	isa:eab	isa:eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
glacier	ghiacciaio	spa:eco	spa:eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
glass	vetro:bicchiere	eco:spa:par	eco:spa:mad	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
globe	globo_terrestre:globo	spa:eco	spa:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
god	dio	eab	eab	24	9	2	2	0	0.0	0	0.0	D	D	0.500	0.500
good	buono:bene:bravo:bello	eva:pnp:ppe:eab:man:isa	eva:pnp:ppe:eab:man:isa	69	57	14	12	0	0.0	0	0.0	ND	ND	0.071	0.083
goods	merce:articolo	eco:tax:par	eco:exa:mer	22	37	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
gossip	chiacchiera:pettegolezzo	eco	eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
gothic	gotico:goticheggiante	tim:ppe:pnp	tim:ppe:pnp	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
government	governo	isa:eco:eab:tax	isa:eco:eab:syn	10	11	1	1	0	0.0	0	0.0	D	D	1.000	1.000
grain	granello	par	mad	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
graphite	grafite	par	mad:mer	4	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
grass	erba:erbetta	par:eco:isa	mer:mad:eco:isa	25	27	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
gravel	ghiaia	par	mad	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
gray	grigio	ppe:tax	ppe:exa	0	18	0	4	NA	NA	0	0.0	NA	ND	NA	0.250
greek	greco	eco:spa	eco:spa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
green	verde:green	ppe:tax	ppe:exa	24	86	4	9	0	0.0	0	0.0	ND	ND	0.250	0.111
greenhouse	serra	spa	spa	0	5	0	2	NA	NA	0	0.0	NA	D	NA	0.500
grey	grigio	ppe	ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
grocery_'s	alimentare	tax:spa	exa:spa	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
ground	terreno:terra:suolo	eco:spa:par:isa	eco:spa:mer:mad:isa	11	13	1	4	0	0.0	0	0.0	D	ND	1.000	0.250
ground(floor)	terra	spa	spa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
group	gruppo	par:eco:spa	hol:eco:spa	0	8	0	2	NA	NA	0	0.0	NA	D	NA	0.500
grudge	astio	eab	eab	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
guard	da_guardia:guardia	tax:eco	exa:eco	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
guide_dog	cane_guida	tax:eco	exa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
habitat	habitat	eco:spa	eco:spa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
hair	capello:chioma:capigliatura	eco:spa:tax:par	eco:spa:mer:coo	24	24	2	1	0	0.0	0	0.0	D	D	0.500	1.000
hairstyle	pettinatura:acconciatura	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
hairy	peloso:capellone	ppe:eco	ppe:eco	11	17	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
hand	mano	eco:spa	eco:spa	51	75	6	7	0	0.0	0	0.0	ND	ND	0.167	0.143
handle	manico:impugnatura	par	mer	26	36	3	4	0	0.0	0	0.0	ND	ND	0.333	0.250
handlebars	manubrio	par:eco	mer:eco	9	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
happiness	felicità:contentezza	eab:tax	eab:coo:syn	0	7	0	2	NA	NA	0	0.0	NA	D	NA	0.500
happy	felice:contento:lieto	pnp	pnp	13	12	2	1	0	0.0	0	0.0	D	D	0.500	1.000
hard	duro:grosso	ppe:eva	ppe:eva	12	19	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
head	testa	par:spa:eco	mer:spa:eco	10	18	1	4	0	0.0	0	0.0	D	ND	1.000	0.250
health	salute	eco:eab	eco:eab	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
healthy	salutare:salubre	ppe:eve:pnp	ppe:eve:pnp	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
hearing	udito	eco:tax:eab	eco:exa:eab	0	9	0	2	NA	NA	0	0.0	NA	D	NA	0.500
heavy	pesante	ppe:pnp:man	ppe:pnp:man	5	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
help	aiuto	eab:eva	eab:eva	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
herbivore	erbivoro	isa:pnp:ppe	isa:pnp:ppe	8	18	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
herd	branco	par	hol	0	9	0	3	NA	NA	0	0.0	NA	ND	NA	0.333
here	qui	spa	spa	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
high	alto:elevato:grande	ppe:spa:pnp:man	ppe:spa:pnp:man	37	38	5	5	0	0.0	0	0.0	ND	ND	0.200	0.200
high-speed	alta_velocità	tax:eab	exa:eab	3	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
highway	autostrada	spa	spa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
hill	collina	spa:tax:isa:eco	spa:coo:isa:eco	0	10	0	2	NA	NA	0	0.0	NA	D	NA	0.500
hippotherapy	ippoterapia	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
historical	storico	tim	tim	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
history	storia	tim:spa:eco:eab	tim:spa:eco:eab	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
hobby	hobby:passatempo	eco:isa:eab	eco:isa:eab	6	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
holiday	vacanza:villeggiatura	eco:tim:tax:eab	eco:tim:exa:eab	5	11	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
home	casa:domestico:ambiente	spa:eco:ppe	spa:eco:ppe	15	25	3	6	0	0.0	0	0.0	ND	ND	0.333	0.167
hoof	zoccolo	par:eco	mer:eco	0	5	0	2	NA	NA	0	0.0	NA	D	NA	0.500
horizon	orizzonte	eco:spa:eab	eco:spa:eab	4	9	2	1	0	0.0	0	0.0	D	D	0.500	1.000
horn	corno:cornetto:clacson	par	mer:mad	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
horse	cavallo	tax:eco	coo:eco	7	18	1	1	0	0.0	0	0.0	D	D	1.000	1.000
horse_racing	ippica	spa:eco	spa:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
house	casa:abitazione:locale:domestico	spa:isa:eco:tax	spa:isa:eco:syn:coo	30	37	3	7	0	0.0	0	0.0	ND	ND	0.333	0.143
household_appliance	elettrodomestico	tax:eco	exa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
housing	abitativo	eco	eco	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
huge	enorme	ppe	ppe	0	6	0	2	NA	NA	0	0.0	NA	D	NA	0.500
hull	scafo	par	mer	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
human	umano:uomano:umana	eco:spa:tax:ppe:eab	eco:spa:ppe:exa:eab	19	20	4	4	0	0.0	0	0.0	ND	ND	0.250	0.250
