Word,te horen,te proeven,te ruiken,te voelen door middel van aanraking,te zien,Count,PropResponses,Dominant,Sum,ModalityExclusivity
SELDERIJ,0.266666667,4.133333333,1.733333333,1.2,3.2,15,1,proeven,10.53333333,0.367088608
SESAMZAAD,0,3.266666667,0.466666667,1.2,2.933333333,15,1,proeven,7.866666667,0.415254237
KETCHUP,0.25,4.4375,3.1875,1.1875,3.1875,16,1,proeven,12.25,0.341836735
PEPER,0.0625,4.4375,3.125,1.1875,2.875,16,1,proeven,11.6875,0.374331551
BIER,0.533333333,4.533333333,3.4,1.133333333,3.866666667,15,1,proeven,13.46666667,0.297029703
WITLOF,0.333333333,4.066666667,2,1.133333333,3.8,15,1,proeven,11.33333333,0.329411765
PISTACHE,0.266666667,4,1.266666667,1.133333333,2.933333333,15,1,proeven,9.6,0.388888889
MAYONAISE,0,4.133333333,2.533333333,1.133333333,3.333333333,15,0.9375,proeven,11.13333333,0.371257485
FETA,0,4.4375,2.625,1.125,2.9375,16,1,proeven,11.125,0.398876404
LINZE,0,3.769230769,1.307692308,1.076923077,3,13,0.866666667,proeven,9.153846154,0.411764706
ZOUT,0.533333333,4.666666667,0.666666667,1.066666667,3.133333333,15,1,proeven,10.06666667,0.410596026
BOTER,0.066666667,4.133333333,1.866666667,1.066666667,3.333333333,15,1,proeven,10.46666667,0.388535032
OREGANO,0,4.133333333,3.466666667,1.066666667,2.733333333,15,0.9375,proeven,11.4,0.362573099
BIEFSTUK,0.333333333,4.733333333,3.266666667,1,3.333333333,15,1,proeven,12.66666667,0.347368421
ROOSMARIJN,0.266666667,3.466666667,3.333333333,0.933333333,2.6,15,1,proeven,10.6,0.301886792
RUCOLA,0.066666667,4.533333333,1.4,0.933333333,3,15,1,proeven,9.933333333,0.44966443
WIJN,0.8,4.266666667,3.4,0.866666667,3.533333333,15,1,proeven,12.86666667,0.269430052
VIS,0.333333333,3.8,2.8,0.866666667,3.6,15,1,proeven,11.4,0.304093567
VARKENSVLEES,0.2,4.466666667,2.933333333,0.866666667,3.333333333,15,1,proeven,11.8,0.361581921
THEE,0.133333333,4.466666667,3.266666667,0.866666667,2.933333333,15,1,proeven,11.66666667,0.371428571
EIWIT,0,3.076923077,1.076923077,0.846153846,3,13,0.8125,proeven,8,0.384615385
NOOTMUSKAAT,0.266666667,4.133333333,2.6,0.8,2.066666667,15,1,proeven,9.866666667,0.391891892
CHIPOTLE,0,3,2.3,0.8,1.9,10,0.666666667,proeven,8,0.375
STILTON,0,3.111111111,2.888888889,0.777777778,1.888888889,9,0.5625,proeven,8.666666667,0.358974359
CHORIZO,0.230769231,3.846153846,2.461538462,0.769230769,2.769230769,13,0.866666667,proeven,10.07692308,0.358778626
JENEVERBES,0.133333333,3.066666667,1.666666667,0.733333333,2.533333333,15,1,proeven,8.133333333,0.360655738
KANEEL,0.333333333,4.266666667,3.266666667,0.666666667,2.8,15,1,proeven,11.33333333,0.347058824
PEPERMUNT,0.266666667,4.2,2.733333333,0.666666667,3,15,1,proeven,10.86666667,0.36196319
CURRY,0.266666667,4.466666667,3.466666667,0.666666667,2.8,15,1,proeven,11.66666667,0.36
RUM,0.266666667,3.8,2.933333333,0.666666667,2.533333333,15,1,proeven,10.2,0.346405229
KOOL,0.066666667,3.466666667,1.666666667,0.666666667,2.733333333,15,1,proeven,8.6,0.395348837
PARMEZAAN,0,4,2.733333333,0.666666667,2.933333333,15,0.9375,proeven,10.33333333,0.387096774
TEQUILA,0.0625,4.25,3.4375,0.625,2.5625,16,1,proeven,10.9375,0.382857143
BOUILLON,0,4.733333333,3.4,0.6,2.933333333,15,1,proeven,11.66666667,0.405714286
HOESTSIROOP,0,4.066666667,2.2,0.6,2.266666667,15,1,proeven,9.133333333,0.445255474
DRAGON,0.166666667,2.916666667,2.833333333,0.583333333,2.25,12,0.8,proeven,8.75,0.314285714
ROOM,0.266666667,4.4,1.533333333,0.533333333,3.266666667,15,1,proeven,10,0.413333333
MOSTERD,0.133333333,4.133333333,3.4,0.533333333,3.133333333,15,1,proeven,11.33333333,0.352941176
VANILLE,0,4.266666667,3.6,0.533333333,2.466666667,15,0.9375,proeven,10.86666667,0.392638037
MUSKAAT,0,3.6,3,0.466666667,2.066666667,15,0.9375,proeven,9.133333333,0.394160584
KOMIJN,0.071428571,3.642857143,2.357142857,0.428571429,2.071428571,14,0.933333333,proeven,8.571428571,0.416666667
SPINAZIE,0.133333333,4.533333333,1.8,0.4,3,15,1,proeven,9.866666667,0.445945946
KWARK,0.133333333,4.266666667,1.933333333,0.4,2.666666667,15,1,proeven,9.4,0.439716312
LIMONADE,0.066666667,4.4,2.933333333,0.4,2.6,15,0.9375,proeven,10.4,0.416666667
KRUIDNAGEL,0,4.214285714,3.071428571,0.357142857,2.5,14,0.933333333,proeven,10.14285714,0.415492958
MELK,0.133333333,4.066666667,1.666666667,0.333333333,3.533333333,15,1,proeven,9.733333333,0.404109589
CACAO,0.133333333,4.066666667,2.533333333,0.333333333,2.4,15,1,proeven,9.466666667,0.415492958
TONIC,0.1875,4.3125,2.6875,0.3125,2.25,16,1,proeven,9.75,0.423076923
CIDER,0,4.285714286,2.642857143,0.285714286,2.285714286,14,0.875,proeven,9.5,0.45112782
WASABI,0.071428571,3.928571429,2.071428571,0.214285714,3.071428571,14,0.933333333,proeven,9.357142857,0.41221374
MOUT,0.1,1.6,1.1,0.2,1.5,10,0.666666667,proeven,4.5,0.333333333
SOJASAUS,0.066666667,4.066666667,2.666666667,0.2,2.6,15,1,proeven,9.6,0.416666667
CHILI,0.066666667,4.133333333,2.4,0.2,1.933333333,15,1,proeven,8.733333333,0.465648855
WHISKY,0.133333333,3.733333333,3.666666667,0.133333333,2.8,15,0.9375,proeven,10.46666667,0.343949045
ANIJS,0.066666667,4.333333333,3.266666667,0.133333333,0.866666667,15,1,proeven,8.666666667,0.492307692
STOUTBIER,0.181818182,3.818181818,3,0.090909091,3.545454545,11,0.733333333,proeven,10.63636364,0.35042735
TRUFFEL,0.230769231,3.076923077,1.384615385,0.846153846,2.615384615,13,0.866666667,proeven,8.153846154,0.349056604
ZEEP,0.066666667,0.6,3.466666667,3.4,3.266666667,15,1,ruiken,10.8,0.314814815
ZONNEBRAND,0.133333333,0.333333333,3.133333333,2.666666667,2.866666667,15,1,ruiken,9.133333333,0.328467153
LIJM,0.0625,0.3125,3.875,2.625,3,16,1,ruiken,9.875,0.386075949
HAARLAK,2.466666667,0.4,3.8,1.866666667,3,15,1,ruiken,11.53333333,0.294797688
WASMIDDEL,0,0.125,4.125,1.8125,3.25,16,1,ruiken,9.3125,0.44295302
KATTENVOER,0.3125,0.6875,3.9375,1.6875,3.5,16,1,ruiken,10.125,0.358024691
MUNT,0.1875,3.9375,4,1.6875,3.4375,16,1,ruiken,13.25,0.287735849
SALIE,0,2.9375,3.6875,1.6875,3.125,16,1,ruiken,11.4375,0.322404372
TIJM,0,3.75,4.1875,1.625,3.0625,16,1,ruiken,12.625,0.331683168
LAVENDEL,0.133333333,0.8,4.733333333,1.266666667,3.4,15,1,ruiken,10.33333333,0.44516129
SIGARET,0.066666667,1.333333333,3.8,1.2,3,15,1,ruiken,9.4,0.397163121
OLIE,0.066666667,2,2.733333333,1.066666667,2.533333333,15,1,ruiken,8.4,0.317460317
STOPVERF,0.357142857,0,2.714285714,0.857142857,2.5,14,0.933333333,ruiken,6.428571429,0.422222222
VERNIS,0.166666667,0.166666667,3.333333333,0.75,2,12,0.75,ruiken,6.416666667,0.493506494
JASMIJN,0.071428571,1.142857143,2.785714286,0.714285714,1.571428571,14,0.933333333,ruiken,6.285714286,0.431818182
BENZINE,0.333333333,0.133333333,4.666666667,0.666666667,2.6,15,1,ruiken,8.4,0.53968254
CITROENGRAS,0.066666667,2.333333333,3.2,0.666666667,1.866666667,15,1,ruiken,8.133333333,0.385245902
MUSKUS,0.571428571,0.428571429,2.214285714,0.642857143,1.714285714,14,0.933333333,ruiken,5.571428571,0.320512821
KOFFIE,0.4,3.466666667,4.133333333,0.6,3.333333333,15,1,ruiken,11.93333333,0.312849162
ROOK,0.133333333,0.4,3.933333333,0.6,3.733333333,15,0.9375,ruiken,8.8,0.431818182
EUCALYPTUS,0,1.666666667,3.933333333,0.6,1.666666667,15,0.9375,ruiken,7.866666667,0.5
TERPENTIJN,0,0,3.266666667,0.533333333,1.866666667,15,1,ruiken,5.666666667,0.576470588
AZIJN,0.0625,3.6875,4.0625,0.4375,2.375,16,1,ruiken,10.625,0.376470588
CANNABIS,0,1.071428571,3.5,0.428571429,2.142857143,14,0.933333333,ruiken,7.142857143,0.49
WIEROOK,0,0.2,4.333333333,0.4,3,15,1,ruiken,7.933333333,0.546218487
MENTHOL,0.133333333,2.933333333,3.666666667,0.133333333,0.733333333,15,1,ruiken,7.6,0.464912281
PATCHOULI,0,1,3,0.909090909,2.181818182,11,0.6875,ruiken,7.090909091,0.423076923
SCHUURPAPIER,1.866666667,0.066666667,0.466666667,4.4,3.6,15,1,voelen,10.4,0.416666667
HANDDRUK,0.2,0,0,4.4,3.2,15,1,voelen,7.8,0.564102564
SCRUB,0.75,0.1875,1.875,4.375,2.6875,16,1,voelen,9.875,0.424050633
BRAILLE,0.066666667,0,0,4.333333333,2.533333333,15,1,voelen,6.933333333,0.625
DEKBED,0.533333333,0,0.466666667,4.2,3.266666667,15,1,voelen,8.466666667,0.496062992
DEKEN,0.2,0,0.333333333,4.2,3.266666667,15,1,voelen,8,0.525
