Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
39,breezy,coastline,runway,40,42,1.00,1.00,3.53,0.45,3.53,1.73,3.48,2.24,0.05,3.26,0.52,2.57,0.97,0.23,auditory,0.24,haptic,0.37,bidominant,2.95,0.05,2.76,0.57,3.00,Visual,0.32
40,bright,scarf,sunshine,43,40,1.00,0.99,0.00,0.00,0.09,0.00,4.93,0.21,0.00,1.68,0.15,4.93,0.95,0.31,visual,0.98,visual,0.71,unidominant,0.14,0.05,0.19,0.10,5.00,Visual,0.90
41,brilliant,diamond,trumpet note,43,43,1.00,1.00,0.07,0.02,1.67,0.02,4.91,4.77,0.00,0.33,0.00,0.58,0.15,1.42,visual,0.73,auditory,0.84,bidominant,3.00,2.52,2.19,2.10,3.95,Visual,0.13
42,briny,canned tuna,ocean,40,41,0.87,0.72,0.09,4.09,1.82,2.86,2.46,1.03,1.53,2.14,2.33,3.33,0.87,0.52,gustatory,0.35,visual,0.22,bidominant,0.85,3.23,1.54,2.15,2.15,Gustatory,0.24
43,bristly,broom,moustache,42,43,0.90,0.99,2.32,0.05,4.42,0.16,4.32,0.60,0.24,4.70,0.00,4.30,0.96,0.27,haptic,0.39,haptic,0.48,unidominant,1.95,1.05,4.65,0.20,4.30,Haptic,0.37
44,brittle,bones,wine glass,42,40,1.00,0.97,1.81,0.57,3.76,0.17,2.88,1.15,0.49,3.84,0.05,2.85,0.99,0.13,haptic,0.39,haptic,0.45,unidominant,1.52,0.38,3.95,0.05,3.43,Haptic,0.42
45,broad,shoulders,vista,40,43,0.99,0.72,0.08,0.03,3.88,0.05,4.85,0.48,0.00,0.87,0.23,4.13,0.89,0.48,visual,0.54,visual,0.72,unidominant,0.95,0.19,3.10,0.29,4.05,Visual,0.45
46,broken,cracker,mirror,43,43,1.00,1.00,3.30,1.56,3.74,0.30,4.81,3.21,0.09,3.56,0.00,4.88,0.98,0.21,visual,0.33,visual,0.42,unidominant,3.19,0.48,4.33,0.48,4.86,Visual,0.33
47,bronze,medal,statue,40,41,1.00,1.00,0.18,0.63,1.50,0.53,4.70,0.34,0.49,1.56,0.83,4.85,1.00,0.07,visual,0.60,visual,0.56,unidominant,0.14,0.29,0.81,0.62,4.33,Visual,0.68
48,brown,chestnut,monkey,42,43,0.98,1.00,0.22,0.49,0.39,0.37,4.93,0.53,0.00,0.53,0.23,5.00,0.99,0.12,visual,0.74,visual,0.79,unidominant,0.10,0.33,0.19,0.24,4.71,Visual,0.83
49,bubbling,champagne,tea kettle,42,40,1.00,1.00,2.79,3.86,1.98,1.05,4.38,4.55,0.73,1.85,1.28,4.35,0.86,0.54,visual,0.24,auditory,0.30,bidominant,,,,,,,
50,bulky,sofa,sweater,43,40,1.00,0.99,0.37,0.00,4.44,0.14,4.47,0.13,0.05,4.43,0.05,4.48,1.00,0.04,visual,0.47,visual,0.48,unidominant,0.57,0.33,3.76,0.10,4.43,Visual,0.47
51,bumpy,cauliflower,flight,43,43,1.00,1.00,0.19,2.09,4.81,0.14,4.40,2.30,0.00,4.35,0.00,3.00,0.88,0.51,haptic,0.40,haptic,0.45,unidominant,1.24,0.65,4.48,0.05,4.10,Haptic,0.42
52,burning,candle,toast,41,40,1.00,1.00,0.78,0.12,3.00,3.66,4.78,1.28,3.55,2.15,4.80,4.40,0.88,0.50,visual,0.38,olfactory,0.22,bidominant,1.71,2.52,3.62,4.43,4.05,Olfactory,0.17
53,burnt,finger,pancake,43,42,0.98,0.98,0.98,0.48,4.51,2.36,4.26,0.78,4.56,2.32,4.46,4.41,0.78,0.68,haptic,0.32,gustatory,0.23,bidominant,0.48,4.05,2.38,4.57,4.19,Olfactory,0.26
54,bursting,balloon,bubble,40,42,1.00,1.00,4.95,0.05,2.38,0.23,4.53,3.12,0.48,2.98,0.29,4.62,0.96,0.27,auditory,0.40,visual,0.38,bidominant,2.76,1.19,3.24,1.00,4.24,Visual,0.26
55,buttery,lotion,popcorn,43,40,1.00,1.00,0.05,0.60,4.79,2.09,2.91,0.31,4.88,3.48,3.83,3.75,0.80,0.65,haptic,0.45,gustatory,0.28,bidominant,0.10,4.90,1.81,3.19,3.10,Gustatory,0.37
56,buzzing,bumblebee,classroom,41,40,1.00,1.00,4.76,0.00,1.20,0.05,3.00,4.63,0.05,0.43,0.20,3.18,0.99,0.14,auditory,0.53,auditory,0.54,unidominant,4.71,0.14,1.71,0.05,1.81,Auditory,0.55
57,caramelised,peanut,sugar,41,40,1.00,1.00,0.71,4.37,2.61,3.37,3.93,0.85,4.35,1.98,3.40,3.90,1.00,0.09,gustatory,0.24,gustatory,0.24,unidominant,0.29,4.38,1.43,3.90,3.52,Gustatory,0.30
58,charred,bones,lamb chop,42,43,0.88,0.87,1.62,0.89,2.57,2.35,4.00,1.14,4.27,2.70,3.76,4.41,0.89,0.46,visual,0.27,visual,0.20,unidominant,0.16,2.42,1.68,3.32,3.68,Visual,0.31
59,cheesy,enchilada,feet,42,40,1.00,0.86,0.40,4.81,2.57,3.40,4.02,0.09,0.94,1.12,3.74,1.74,0.82,0.61,gustatory,0.29,olfactory,0.48,bidominant,0.67,4.71,0.48,4.19,3.05,Gustatory,0.32
60,chequered,chess board,kitchen towel,43,40,0.98,0.91,0.48,0.00,0.79,0.00,4.88,0.31,0.03,1.06,0.14,4.59,1.00,0.08,visual,0.79,visual,0.75,unidominant,0.11,0.00,0.26,0.00,4.47,Visual,0.92
61,chewy,beef jerky,gummy bear,43,42,0.98,0.98,0.62,4.57,3.24,0.90,2.48,1.00,4.29,3.88,0.46,2.54,0.99,0.14,gustatory,0.33,gustatory,0.31,unidominant,1.33,4.48,2.05,0.62,2.57,Gustatory,0.35
62,chilly,cave,morning,41,40,1.00,1.00,0.93,0.15,4.29,1.02,2.46,0.48,0.40,4.45,1.38,2.75,0.99,0.12,haptic,0.47,haptic,0.43,unidominant,0.67,1.29,4.19,0.57,2.95,Haptic,0.37
63,chiming,bells,clock,43,42,1.00,0.98,4.79,0.07,0.77,0.07,2.74,4.98,0.05,0.29,0.15,2.68,1.00,0.09,auditory,0.56,auditory,0.60,unidominant,,,,,,,
64,chirping,cricket,sparrow,42,40,1.00,1.00,4.62,0.02,0.45,0.10,1.71,4.80,0.00,0.33,0.00,3.08,0.98,0.22,auditory,0.67,auditory,0.59,unidominant,,,,,,,
65,chocolatey,brownie,skin,43,40,1.00,0.99,0.07,4.88,1.58,3.65,3.74,0.08,1.26,1.48,1.26,4.35,0.81,0.62,gustatory,0.35,visual,0.51,bidominant,0.33,4.95,1.00,4.52,4.19,Gustatory,0.31
66,chubby,infant,kitten,43,43,1.00,1.00,0.23,0.05,4.14,0.14,4.98,0.42,0.12,4.21,0.16,4.95,1.00,0.03,visual,0.52,visual,0.49,unidominant,0.43,0.19,4.10,0.57,4.95,Visual,0.47
67,circular,coaster,mint,40,41,1.00,0.95,0.55,0.08,3.68,0.08,4.78,0.05,1.87,4.13,0.23,4.90,0.96,0.29,visual,0.51,visual,0.43,unidominant,0.14,0.10,3.86,0.00,4.76,Visual,0.54
68,citrusy,bath foam,lemonade,42,43,0.95,1.00,0.23,1.93,0.65,4.08,1.13,0.09,4.81,0.74,3.26,1.88,0.87,0.51,olfactory,0.48,gustatory,0.44,bidominant,0.05,5.00,0.57,3.95,2.57,Gustatory,0.41
69,clammy,hand,weather,40,42,0.98,0.96,0.10,0.38,4.90,0.69,2.67,1.15,0.53,3.23,1.53,3.34,0.92,0.41,haptic,0.55,visual,0.29,bidominant,0.40,0.60,4.35,1.45,2.75,Haptic,0.41
70,clamorous,cafeteria,children,42,43,0.88,0.88,4.43,0.41,0.65,1.32,4.30,4.24,0.03,0.82,0.39,4.00,0.99,0.16,auditory,0.36,auditory,0.44,unidominant,2.38,0.13,2.88,0.88,2.25,Haptic,0.32
71,clanging,cow bell,pans,43,43,0.98,1.00,4.98,0.02,0.95,0.10,3.17,4.93,0.05,1.35,0.05,3.70,1.00,0.09,auditory,0.54,auditory,0.48,unidominant,,,,,,,
72,clean,bed sheets,desk,43,43,1.00,1.00,0.28,0.37,3.49,4.30,4.19,0.16,0.09,4.23,1.14,4.98,0.88,0.50,olfactory,0.32,visual,0.46,bidominant,0.57,1.81,3.33,3.81,4.62,Visual,0.29
