WORD,Transliteration,English_Translation,Category,Abstractness,Length,Gender,Fr_obj_Lg,Vis_Mean,Vis_SD,Aud_Mean,Aud_SD,Olf_Mean,Olf_SD,Gus_Mean,Gus_SD,Hap_Mean,Hap_SD,Img_Mean,Img_SD,Man_Mean,Man_SD,Space17_Mean,Space17_SD,AoA_Mean,AoA_SD,Fr_Mean,Fr_SD
________,sandaliya,sandal,Clothes,concrete,8,f,0.7,4.75,2.41,1.75,1.62,2.28,1.53,1.36,1.05,4.21,2.35,6,1.92,4.63,2.11,1.97,1.51,5.78,3.07,2.17,1.7
____,sani,sleigh,Transport,concrete,4,plur_tant,1.1,4.37,2.36,2.43,1.96,1.76,1.33,1.82,1.72,4.24,1.99,6.11,1.63,5.78,1.45,2.46,1.66,4.4,2.24,3.19,2.09
_____,sanki,sled,Transport,concrete,5,plur_tant,0.8,3.93,2.2,2.38,1.72,1.69,1.17,1.31,1.14,4.28,2.33,6.85,0.77,5.03,2.01,1.66,0.79,3.11,1.55,2.93,1.76
_____,sapog,jackboot,Clothes,concrete,5,m,1.8,5.19,1.97,2.21,1.4,3.07,1.64,1.41,0.84,4.46,1.9,6.93,0.37,5.17,1.97,1.97,1.02,3.53,1.61,5.31,1.74
______,svekla,beet,Food,concrete,6,f,0.9,3.76,2.21,1.63,1.63,4.86,1.98,5.62,1.86,4.33,2.2,6.63,0.96,3.43,2.08,2,1.52,4.63,2.61,3.8,1.47
______,svinya,pig,Animal,concrete,6,f,1.4,3.97,2.15,3.17,2.09,4.28,2.34,4.03,2.56,3.28,2.14,6.48,1.09,3,2.2,2.48,1.56,4.53,2.6,3.17,1.63
______,serga,ear-ring,Clothes,concrete,6,f,0.8,4.34,2.3,2.59,1.78,1.59,1.15,1.61,1.27,4.76,2.17,6.55,1.27,5.57,1.79,3.7,1.61,4.97,1.96,4.03,1.95
______,szhatie,compression,Action,abstract,6,n,0.8,2.93,2.12,2.1,1.54,1.38,1.08,1.03,0.19,4.52,2.69,3.48,1.74,4.79,2.21,3.53,1.65,9.37,3.4,3.46,1.75
______,sinitsa,tit,Animal,concrete,6,f,0.6,4.52,2.15,2.83,1.75,2,1.58,2.03,1.81,2.97,2.15,6.45,1.35,2.27,1.78,4.64,1.88,5.03,2.01,2.62,1.35
_________,skalpel,scalpel,Tool_precise_grip,concrete,9,m,0.5,4.3,2.25,2.27,1.76,1.48,0.87,1.89,1.69,5.03,2.13,5.93,1.57,6.38,1.34,2.97,1.55,8.43,3.32,2.29,1.36
_____,skeyt,skateboard,Transport,concrete,5,m,0.2,4.9,2.24,2.79,1.75,1.37,0.96,1.26,0.94,4.04,2.09,6.59,1.3,4.77,2.19,2.52,1.35,8.6,2.71,2.54,1.56
_________,skovoroda,pan,Tool_power_grip,concrete,9,f,0.8,4.73,2.36,3.03,1.92,2.76,1.72,3.46,1.99,5.17,1.75,6.44,1.05,6.59,0.95,2.38,1.16,5.13,1.85,6.04,1.32
_____,skotch,sticky tape,Tool_precise_grip,concrete,5,m,0.5,3.72,2.46,3.21,2.09,3.48,2.44,2.55,2.22,4.66,2.24,6.28,1.36,6.07,1.36,2.45,1.42,6.03,2.58,3.69,1.58
_______,skrepka,paper-clip,Tool_precise_grip,concrete,7,f,0.5,4.75,2.29,1.82,1.52,1.9,1.54,1.5,1.06,4.25,2.22,6.57,1,6.1,1.49,2.56,1.33,5.73,1.62,4.67,2.06
_____,skuka,boredom,Sense_Emotion,abstract,5,f,1.2,2.44,1.74,1.75,1.24,1.41,1.32,2,1.6,1.39,1.03,3.82,1.59,1.84,1.49,3.56,1.73,6.5,2.89,4.47,1.53
_____,sliva,plum,Food,concrete,5,f,0.8,4.07,2.2,1.59,1.62,4.86,2.01,6.17,1.54,4.9,2.24,6.78,0.8,4.41,2.18,4.31,1.73,3.74,1.91,3.32,1.79
_____,slovo,word,Sound,concrete,5,n,3,2.97,1.99,4.9,2.16,1.28,0.75,1.83,1.73,1.17,0.48,4.45,2.23,1.97,1.9,4.55,2.02,3.93,2.26,6.17,1.39
____,slon,elephant,Animal,concrete,4,m,1.4,4.6,2.36,3.22,2.03,2.37,1.59,1.7,1.42,3.66,2.35,6.55,1.09,2.65,2.24,4.28,1.95,4,1.66,2.41,1.35
____,sluh,hearing,Sense_Phys,abstract,4,m,1.9,2.21,1.61,5.41,2.57,1.45,1.35,1.07,0.37,1.89,1.73,2.65,1.74,1.72,1.28,4.28,1.78,4.59,2.21,5.11,1.69
_________,smorodina,currant,Food,concrete,9,f,0.8,4.55,2.31,1.55,1.3,5.17,2.11,6.36,1.43,4.38,2.18,6.55,1.21,4.43,2.22,2.85,1.54,5,1.72,2.93,1.65
________,smuschenie,embarrassment,Sense_Emotion,abstract,8,n,1,2.33,1.63,2.29,1.7,1.81,1.58,1.29,0.9,1.85,1.77,3.93,1.67,2.14,1.8,4.09,1.99,6.24,2.49,3.93,1.82
_____,smyisl,sense,Intelligence,abstract,5,m,2.5,1.83,1.51,2.07,1.98,1.52,1.3,1.21,0.68,1.28,0.88,2,1.08,1.41,1.27,5.19,2.04,8.33,3.27,6.29,0.85
______,smyichok,fiddlestick,Tool_power_grip,concrete,6,m,0.6,4.47,2.53,4.39,1.89,1.24,0.69,1.27,0.77,4.11,2.57,6.18,1.25,5.87,1.89,3.26,1.5,7.07,2.52,1.87,1.14
_______,snegir,bullfinch,Animal,concrete,7,m,0.3,4.62,1.92,3.45,2.25,1.83,1.39,1.97,1.9,3.28,2.31,6.59,0.84,2.21,2.06,5.44,1.39,4.7,2.91,3.29,2.24
______,sobaka,dog,Animal,concrete,6,f,2.1,4.97,1.82,5.07,1.72,4.9,2.08,2,1.36,5.42,1.47,6.97,0.18,3.73,2.2,2.85,1.79,3.47,2.87,5.37,1.43
____,sova,owl,Animal,concrete,4,f,1,4.97,1.99,3.59,1.95,1.57,0.97,1.8,1.54,2.79,2.11,6.72,0.75,2.48,2.23,4.65,1.68,4.19,1.82,3.21,1.88
_____,sovet,advice,Intelligence,abstract,5,m,2.4,2.35,1.64,3.54,2.12,1.13,0.43,1.44,1.05,1.19,0.49,2.72,1.71,1.3,0.65,4.36,1.5,6.2,2.47,5.27,1.66
________,soznanie,consciousness,Intelligence,abstract,8,n,2.2,2.59,2.15,2.6,2.19,1.34,0.67,1.66,1.47,1.46,1.14,2.27,1.72,1.9,1.81,5.24,2.09,8.83,3.75,5.03,1.61
_____,sokol,falcon,Animal,concrete,5,m,1,5.1,1.78,3.67,1.84,2.03,1.55,1.66,1.42,2.63,1.88,6.57,0.86,2,1.82,5.27,1.79,5.63,2.95,3.23,1.5
______,solntse,sun,Space,concrete,6,n,2.2,5.55,1.62,2,1.88,1.86,1.53,1.86,1.66,1.96,1.6,6.83,0.53,1.3,1.12,6.61,1.09,2.9,1.75,6.17,1.02
___,son,sleep,Intelligence,abstract,3,m,2.2,4.26,2.08,2.86,1.96,1.67,1.56,2.07,1.75,2.15,1.74,4.38,1.76,1.27,0.83,4.24,2.33,3.5,2.21,6.04,1.4
___,sor,litter,Ground,concrete,3,m,0.7,3.47,2.21,1.69,1.47,1.83,1.49,1.39,1.23,3.38,2.48,4.27,1.61,4.22,1.95,1.78,1.57,6.71,3.18,3.57,2.17
________,sochnost,succulence,Sense_Phys,abstract,8,f,0.2,2.45,1.92,2.23,1.74,3.34,2.14,5.14,2.29,1.83,1.31,3.52,2.08,1.53,1.01,3.45,1.92,6.6,2.63,3.23,1.77
__________,sochuvstvie,sympathy,Sense_Emotion,abstract,10,n,1.3,1.47,0.97,2.79,1.79,1.65,1.41,1.39,1.29,2.37,1.9,2.96,1.55,2.32,1.86,4.34,1.73,7.08,2.94,4.5,1.66
___________,spokoystvie,composure,Sense_Emotion,abstract,11,n,1.3,2.83,2.13,3.11,2.28,2.1,1.88,1.67,1.56,1.48,1.27,4.32,1.94,2.06,1.93,4.78,1.75,7.27,3.17,5.1,2.04
_____,spusk,descending,Action,abstract,5,m,1.3,4.13,2.11,2.43,1.5,1.33,1.15,1.41,1.05,2.19,1.77,5.24,1.72,3.23,1.91,2.45,1.72,5.93,2.1,4.27,1.89
_______,sputnik,satellite,Space,concrete,7,m,1.5,3.62,2.09,2.97,2.24,1.62,1.7,1.31,0.71,2.75,2.17,5.53,1.93,3.9,2.37,6.42,1.25,6.6,2.79,3.97,1.67
______,stakan,glass,Tool_power_grip,concrete,6,m,1.9,4.43,2.39,2.43,1.94,1.72,1.13,3.11,2.2,4.79,2.34,6.7,0.54,6.44,1.19,2.84,1.28,3.67,1.84,5.96,1.69
_______,stepler,stapler,Tool_power_grip,concrete,7,m,0,4,2.28,2.79,1.97,1.39,1.2,1.52,1.06,4.72,2.14,6.66,0.97,6.27,1.39,2.64,1.45,7.93,2.75,3.48,1.7
